Year,Stage,away_team,date,home_team,home_result,away_result,winner
2010,Semi-finals,Netherlands,6/07/2010 20:30,Uruguay,2,3,Netherlands
2010,Semi-finals,Spain,7/07/2010 20:30,Germany,0,1,Spain
2010,Third place,Germany,10/07/2010 20:30,Uruguay,2,3,Germany
2010,Final,Spain,11/07/2010 20:30,Netherlands,0,1,Spain 
2014,Group A,Croatia,12/06/2014 17:00,Brazil,3,1,Brazil
2014,Group A,Cameroon,13/06/2014 13:00,Mexico,1,0,Mexico
2014,Group B,Netherlands,13/06/2014 16:00,Spain,1,5,Netherlands
2014,Group B,Australia,13/06/2014 18:00,Chile,3,1,Chile
2014,Group C,Greece,14/06/2014 13:00,Colombia,3,0,Colombia
2014,Group D,Costa Rica,14/06/2014 16:00,Uruguay,1,3,Costa Rica
2014,Group D,Italy,14/06/2014 18:00,United Kingdom,1,2,Italy
2014,Group C,Japan,14/06/2014 22:00,Cote d'Ivoire,2,1,Cote d'Ivoire
2014,Group E,Ecuador,15/06/2014 13:00,Switzerland,2,1,Switzerland
2014,Group E,Honduras,15/06/2014 16:00,France,3,0,France
2014,Group F,Bosnia and Herzegovina,15/06/2014 19:00,Argentina,2,1,Argentina
2014,Group G,Portugal,16/06/2014 13:00,Germany,4,0,Germany
2014,Group F,Nigeria,16/06/2014 16:00,Iran,0,0,draw
2014,Group G,United States,16/06/2014 19:00,Ghana,1,2,United States
2014,Group H,Algeria,17/06/2014 13:00,Belgium,2,1,Belgium
2014,Group A,Mexico,17/06/2014 16:00,Brazil,0,0,draw
2014,Group H,"Korea, South",17/06/2014 18:00,Russia,1,1,draw
2014,Group B,Netherlands,18/06/2014 13:00,Australia,2,3,Netherlands
2014,Group B,Chile,18/06/2014 16:00,Spain,0,2,Chile
2014,Group A,Croatia,18/06/2014 18:00,Cameroon,0,4,Croatia
2014,Group C,Cote d'Ivoire,19/06/2014 13:00,Colombia,2,1,Colombia
2014,Group D,United Kingdom,19/06/2014 16:00,Uruguay,2,1,Uruguay
2014,Group C,Greece,19/06/2014 19:00,Japan,0,0,draw
2014,Group D,Costa Rica,20/06/2014 13:00,Italy,0,1,Costa Rica
2014,Group E,France,20/06/2014 16:00,Switzerland,2,5,France
2014,Group E,Ecuador,20/06/2014 19:00,Honduras,1,2,Ecuador
2014,Group F,Iran,21/06/2014 13:00,Argentina,1,0,Argentina
2014,Group G,Ghana,21/06/2014 16:00,Germany,2,2,draw
2014,Group F,Bosnia and Herzegovina,21/06/2014 18:00,Nigeria,1,0,Nigeria
2014,Group H,Russia,22/06/2014 13:00,Belgium,1,0,Belgium
2014,Group H,Algeria,22/06/2014 16:00,"Korea, South",2,4,Algeria
2014,Group G,Portugal,22/06/2014 18:00,United States,2,2,draw
2014,Group B,Spain,23/06/2014 13:00,Australia,0,3,Spain
2014,Group B,Chile,23/06/2014 13:00,Netherlands,2,0,Netherlands
2014,Group A,Brazil,23/06/2014 17:00,Cameroon,1,4,Brazil
2014,Group A,Mexico,23/06/2014 17:00,Croatia,1,3,Mexico
2014,Group D,Uruguay,24/06/2014 13:00,Italy,0,1,Uruguay
2014,Group D,United Kingdom,24/06/2014 13:00,Costa Rica,0,0,draw
2014,Group C,Colombia,24/06/2014 16:00,Japan,1,4,Colombia
2014,Group C,Cote d'Ivoire,24/06/2014 17:00,Greece,2,1,Greece
2014,Group F,Argentina,25/06/2014 13:00,Nigeria,2,3,Argentina
2014,Group F,Iran,25/06/2014 13:00,Bosnia and Herzegovina,3,1,Bosnia and Herzegovina
2014,Group E,Switzerland,25/06/2014 16:00,Honduras,0,3,Switzerland
2014,Group E,France,25/06/2014 17:00,Ecuador,0,0,draw
2014,Group G,Germany,26/06/2014 13:00,United States,0,1,Germany
2014,Group G,Ghana,26/06/2014 13:00,Portugal,2,1,Portugal
